Designator,Mid X,Mid Y,Rotation,Layer
AJ-SR04M1,105.5,-102.0,90.0,top
BT1,64.7175,-100.75,90.0,bottom
BT2,106.33,-68.2,0.0,top
C1,63.25,-94.25,0.0,top
C10,67.25,-70.5,270.0,top
C11,67.0,-89.5,180.0,top
C12,92.0,-75.5,90.0,top
C13,88.5,-75.5,90.0,top
C14,68.5,-86.3,90.0,top
C15,81.0,-100.5,90.0,top
C16,70.8,-82.75,0.0,top
C17,80.5,-77.75,0.0,top
C18,80.5,-79.75,0.0,top
C19,82.75,-93.75,270.0,top
C2,63.5,-70.5,270.0,top
C20,72.0,-95.75,270.0,top
C21,59.75,-69.25,270.0,top
C22,79.0,-61.5,270.0,top
C23,87.95,-103.5,0.0,top
C24,83.75,-101.75,0.0,top
C25,70.725,-78.75,180.0,top
C26,61.0,-66.0,180.0,top
C27,75.5,-58.75,0.0,top
C28,110.75,-89.5,270.0,top
C29,71.25,-92.2,270.0,top
C3,63.2,-91.75,0.0,top
C30,78.0,-99.25,0.0,top
C4,58.75,-92.25,270.0,top
C5,59.5,-101.25,90.0,top
C6,79.51,-111.8,270.0,top
C7,76.5,-111.8,270.0,top
C8,65.0,-106.5,90.0,top
C9,84.76875,-111.23125,0.0,top
D1,45.0,-91.75,180.0,top
D2,47.5,-105.5,180.0,top
J1,39.345,-95.75,270.0,top
J2,121.25,-96.275,0.0,top
J4,38.0,-70.0,180.0,top
L1,77.75,-102.5,90.0,top
L2,68.35,-92.5,90.0,top
L3,76.25,-60.5,180.0,top
Q1,53.0,-102.5,180.0,top
Q2,71.25,-60.5,0.0,top
Q3,95.5,-101.0,180.0,top
R1,66.0,-67.5,0.0,top
R10,66.25,-84.1625,270.0,top
R11,74.25,-64.0,90.0,top
R12,77.25,-66.0,270.0,top
R13,84.76875,-107.98125,180.0,top
R2,63.25,-89.5,0.0,top
R24,84.76875,-105.73125,180.0,top
R25,42.0,-68.25,270.0,top
R26,48.25,-94.5,180.0,top
R27,40.1625,-84.5,270.0,top
R28,54.0,-94.75,180.0,top
R29,54.0,-97.0,180.0,top
R3,74.5,-101.25,270.0,top
R4,45.0,-100.5,270.0,top
R5,48.5,-100.5,270.0,top
R6,89.25,-97.0,90.0,top
R7,45.5,-75.5,90.0,top
R8,67.75,-106.5,90.0,top
R9,71.0,-80.5,180.0,top
SW1,72.75,-72.27,270.0,top
SW2,49.52,-81.5,180.0,top
U1,61.63,-84.13,90.0,top
U2,79.5,-107.0,180.0,top
U3,76.83,-86.42,180.0,top
U4,100.0,-88.75,0.0,top
U5,50.5,-73.0947,0.0,top
U6,73.25,-108.5,180.0,top
U8,66.925,-75.550001,90.0,top
Y1,67.75,-96.25,90.0,top
Y2,91.5,-78.75,0.0,top
